Model,Domain,Mean_Score,Std_Score,Median_Score,Min_Score,Max_Score,Sample_Count
Meta-Llama-3-8B,Algo & DS,0.5626943005181347,0.3056448013671479,0.6,0.0,0.95,193
Meta-Llama-3-8B,Database,0.6173553719008263,0.26877118085539287,0.65,0.0,0.9,121
Meta-Llama-3-8B,ML,0.6932499999999999,0.23115818834772256,0.85,0.0,0.95,200
Meta-Llama-3-8B,Networking,0.41218905472636813,0.35869650692417154,0.4,0.0,1.0,201
Meta-Llama-3-8B,SWE,0.3929268292682926,0.3583543808394949,0.4,0.0,1.0,205
Mistral-7B-v0.1,Algo & DS,0.577461139896373,0.31978553977748486,0.65,0.0,1.0,193
Mistral-7B-v0.1,Database,0.4983471074380165,0.3248033946544638,0.6,0.0,0.85,121
Mistral-7B-v0.1,ML,0.6495000000000001,0.3098463713993545,0.8,0.0,0.95,200
Mistral-7B-v0.1,Networking,0.25,0.3011228984982709,0.2,0.0,1.0,201
Mistral-7B-v0.1,SWE,0.2619512195121951,0.3187230919991607,0.0,0.0,1.0,205
deepseek-llm-7b-chat,Algo & DS,0.5318963730569949,0.4989019919171105,1.0,0.0,1.1,193
deepseek-llm-7b-chat,Database,0.40661157024793393,0.49341252807870034,0.0,0.0,1.1,121
deepseek-llm-7b-chat,ML,0.3155,0.46647372776338286,0.0,0.0,1.1,200
deepseek-llm-7b-chat,Networking,0.44825373134328356,0.4960240319767862,0.0,0.0,1.1,201
deepseek-llm-7b-chat,SWE,0.54,0.5024059759854397,1.0,0.0,1.5,205
aya-expanse-8b,Algo & DS,0.7875647668393783,0.16202101587600382,0.85,0.2,1.0,193
aya-expanse-8b,Database,0.8206611570247933,0.14601218863043636,0.85,0.2,0.95,121
aya-expanse-8b,ML,0.84675,0.10657734823018858,0.85,0.0,1.0,200
aya-expanse-8b,Networking,0.5241293532338308,0.3139305069343844,0.6,0.0,1.0,201
aya-expanse-8b,SWE,0.6554634146341463,0.30861233515504793,0.85,0.0,1.0,205
Qwen2.5-7B-Instruct,Algo & DS,0.8831606217616578,0.051426121196120445,0.85,0.65,1.0,193
Qwen2.5-7B-Instruct,Database,0.8442148760330577,0.11331925451363598,0.85,0.0,0.95,121
Qwen2.5-7B-Instruct,ML,0.8494999999999999,0.06963472535218604,0.85,0.2,0.95,200
Qwen2.5-7B-Instruct,Networking,0.7830845771144277,0.19232118398903741,0.85,0.0,1.0,201
Qwen2.5-7B-Instruct,SWE,0.7880487804878047,0.21645788785960804,0.85,0.0,1.0,205
